ImageId, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, AspectRatio, FocalLength, RadialDistortionK1, RadialDistortionK2
129, 0.919771, 0.619015, -0.0133813, -0.946913807029232, -0.925318365949549, 1.38960511635024, 1.33333, 3.94911, 0.000106411, -0.000106411
130, 1.03507, 0.631125, -0.050562, -0.856521145070407, -1.12062699717313, 1.58589209960424, 1.33333, 4.18455, -7.46157E-06, 7.46159E-06
131, 0.995049, 0.611446, -0.0363055, -0.826058251685539, -0.661399630589847, 1.25852532292312, 1.33333, 4.09951, -0.000233073, 0.000233072
132, 0.960759, 0.621467, -0.0217605, -0.914563337301195, -0.779777896088245, 1.25119596499567, 1.33333, 3.99844, -0.000526301, 0.000526292
133, 0.94489, 0.623792, -0.027938, -1.12245952812382, -0.920100594602652, 1.16204135590783, 1.33333, 3.98127, -6.84397E-05, 6.84395E-05
134, 0.971478, 0.619415, -0.0326804, -1.14795549343045, -0.981276552453491, 1.16296697989406, 1.33333, 1.07634, 0.0458982, -0.0468404
135, 0.979779, 0.615287, -0.0270429, -0.926658395358637, -0.837465547584259, 1.32581033922212, 1.33333, 1.07284, 0.0473524, -0.0482552
136, 0.976988, 0.614937, -0.0275798, -0.880618318944207, -0.90870784156854, 1.4096940569945, 1.33333, 1.0712, 0.0433112, -0.0440975
137, 0.978532, 0.617235, -0.0243391, -0.768793187185528, -0.744302221159407, 1.44004951811067, 1.33333, 1.06833, 0.0437662, -0.0446278
138, 0.602744, 1.57449, -0.0239419, -0.66888777334899, -1.23090405381245, 1.81076116316328, 1.33333, 4.00331, 1.10216E-05, -1.10216E-05
142, 0.603416, 1.56758, -0.0255245, -0.595441157520327, -1.54797762617709, 1.93174815573467, 1.33333, 4.04116, 4.97461E-05, -4.97462E-05
143, 0.573382, 1.56242, -0.0109904, -0.886462003757529, -1.17639394531756, 1.5581851976644, 1.33333, 3.96841, -0.000984367, 0.000984333
144, 0.590176, 1.56823, -0.0256497, -0.965797788604173, -1.37053932532357, 1.52821334241767, 1.33333, 1.06753, 0.0448181, -0.0458784
145, 0.588619, 1.55223, -0.0213465, -0.756472471935697, -1.57382799281096, 1.74937154371036, 1.33333, 1.05168, 0.0514033, -0.0529226
146, 0.595506, 1.56068, -0.0150653, -0.608568861278472, -1.29023686930975, 1.90704297656668, 1.33333, 1.05279, 0.0588169, -0.0608077
147, 0.583328, 1.55516, 0.00516927, -0.504800421064541, -1.00818701058245, 1.9664469998935, 1.33333, 1.02464, 0.00124569, -0.0012461
148, 0.388688, 2.10889, -0.024865, -0.714251199776247, -1.5809120387487, 1.82503466114253, 1.33333, 1.0668, 0.0413387, -0.0421088
149, 0.400099, 2.1242, -0.0237373, -0.5550971121115, -1.41122171794654, 2.03534278652356, 1.33333, 1.06588, 0.044083, -0.0450193
150, 0.402103, 2.14477, -0.0265709, -0.448379921690615, -1.16407011893654, 2.14542321628832, 1.33333, 1.05313, 0.0090343, -0.00906883
151, 0.398574, 2.10548, -0.0198986, -0.458162341301966, -1.6317134317405, 2.11527821267534, 1.33333, 1.05369, 0.053716, -0.0554071
152, 0.391763, 2.09074, -0.0193342, -0.461111064010337, -1.88302289638954, 2.01222545510844, 1.33333, 1.04292, 0.0433589, -0.0444252
153, 0.394413, 2.09907, -0.0192081, -0.716492236244788, -1.44061930853228, 1.80921294503922, 1.33333, 4.00557, -0.00283978, 0.00283946
154, 0.395287, 2.09893, -0.0220021, -0.750468868884993, -1.35510583243564, 1.77581677511669, 1.33333, 3.99944, -0.00021328, 0.00021328
155, 0.374859, 2.09155, -0.0141538, -0.791251730236045, -1.46785613695025, 1.73661496798161, 1.33333, 3.95869, -0.00115621, 0.00115617
156, 0.407572, 2.118, -0.0188153, -0.33432039802209, -1.85454834361235, 2.15968077713087, 1.33333, 4.00857, -6.28804E-05, 6.28804E-05
157, 0.417697, 2.12895, -0.0239967, -0.552019571828237, -1.40734817684363, 2.03461199619065, 1.33333, 4.01651, -0.000137026, 0.000137026
158, 0.409475, 2.1192, -0.0201951, -0.447477730111211, -1.38689200546537, 2.18003390302341, 1.33333, 1.74762, 0.000873444, -0.000873561
160, -0.317892, 1.93001, -0.00498286, -0.654775025518895, -1.38062433970485, 1.94385771271285, 1.33333, 1.74745, 0.00285078, -0.00285235
161, -0.32042, 1.92716, 0.000385852, -0.681351165859265, -1.49601679817507, 1.92062252524291, 1.33333, 1.72745, 0.0170933, -0.0171508
162, -0.295294, 1.94087, -0.00356828, -0.377764231967092, -1.32360309713443, 2.30224707134233, 1.33333, 1.74106, 0.0336408, -0.0339063
164, -0.29983, 1.93615, -0.0103217, -0.313759958096142, -1.70525663425731, 2.36337440977318, 1.33333, 1.74429, 0.0136229, -0.0136624
165, -0.293271, 1.93996, -0.00531914, 0.0503380690996171, 1.66539306309218, -2.63583025392416, 1.33333, 1.04068, 0.0249889, -0.025334
166, -0.322288, 1.92762, -0.00333252, -0.44084736570458, -1.40543762937659, 2.15391261420593, 1.33333, 1.05506, 0.0332636, -0.0337376
167, -0.320102, 1.93616, -0.00560497, -0.0480680298401075, -1.71556069156483, 2.57970671970002, 1.33333, 1.04302, 0.0311445, -0.0316663
168, -0.321794, 1.94358, -0.00689007, -0.101516283954299, -1.55511145086358, 2.68237960897713, 1.33333, 1.04675, 0.0171736, -0.0173351
177, 0.0748697, -3.49186, 0.0804826, -1.33415073902652, -0.219112648216952, 0.261794340903394, 1.33333, 1.06287, 0.0212756, -0.0214345
178, 0.0172105, -3.46531, 0.097957, -1.44687400210283, -0.371509534420555, 0.375378826242752, 1.33333, 3.92205, -0.0018401, 0.00184001
179, 0.117821, -3.68109, 0.0388841, -1.46112374520026, -0.0734812885201182, 0.0743623796142398, 1.33333, 2.95052, 0.00708338, -0.00708773
180, 0.0849143, -3.50574, 0.0613743, -1.44084262929926, -0.208053623005613, 0.214445932783159, 1.33333, 2.81379, 0.00636543, -0.00636922
181, 0.0725714, -3.42215, 0.112635, -1.18697248680724, -0.184435270389367, 0.237120500162, 1.33333, 2.74051, 7.13295E-05, -7.133E-05
182, 0.0808086, -3.51005, 0.0730204, -1.32078085704889, -0.197176522154127, 0.228512344068417, 1.33333, 2.80119, -0.000188996, 0.000188994
183, 0.47213, -5.44821, 0.247773, -1.43887278416212, -0.195792558285847, 0.214706115120863, 1.33333, 1.03367, -0.000402816, 0.000402826
